Date,Department,Expense Type,Project,Amount (USD),Quantity,Vendor
2024-09-20,Operations,Salaries,Project A,1019,3.0,
2024-12-10,Operations,Utilities,Project B,8198,16.0,VendorY
2024-10-15,Finance,Utilities,Project A,4824,,
2024-03-28,Finance,Salaries,Project B,3948,13.0,VendorY
2024-10-14,Finance,Salaries,Project C,8452,,VendorZ
2024-08-20,Exploration,Maintenance,Project C,7744,3.0,
2024-10-31,Finance,Utilities,Project B,3412,9.0,
2024-04-10,Operations,Salaries,Project A,8191,,VendorX
2024-06-26,Exploration,Utilities,Project C,1501,10.0,VendorY
2024-09-06,Exploration,Utilities,Project B,7252,4.0,
2024-12-14,Operations,Equipment,Project B,9085,10.0,
2024-10-12,Operations,Equipment,Project B,7294,,
2024-02-26,Finance,Salaries,Project A,2782,,
2024-04-25,Operations,Utilities,Project C,5560,4.0,
2024-08-19,Finance,Utilities,Project A,9044,,
2024-02-22,Finance,Utilities,Project A,6837,12.0,
2024-08-27,Finance,Equipment,Project A,3283,16.0,VendorX
2024-03-20,Finance,Equipment,Project A,5436,8.0,VendorY
2024-09-03,Operations,Maintenance,Project A,8310,,VendorZ
2024-03-22,Operations,Maintenance,Project B,6877,,
2024-10-15,Finance,Maintenance,Project B,4665,8.0,
2024-03-07,Operations,Salaries,Project A,4695,13.0,VendorZ
2024-02-09,Finance,Equipment,Project C,2957,,VendorZ
2024-06-26,Operations,Maintenance,Project C,3231,4.0,VendorY
2024-10-04,Finance,Utilities,Project A,6306,20.0,VendorZ
2024-12-11,Exploration,Equipment,Project A,2253,,VendorY
2024-04-28,Operations,Equipment,Project A,9689,,VendorX
2024-02-24,Exploration,Maintenance,Project B,4207,,
2024-05-16,Operations,Utilities,Project A,7130,17.0,
2024-06-24,Exploration,Maintenance,Project A,5742,15.0,VendorX
2024-06-01,Finance,Equipment,Project C,4334,9.0,VendorY
2024-08-12,Exploration,Equipment,Project C,8986,19.0,
2024-12-28,Operations,Salaries,Project B,9014,,
2024-06-14,Operations,Utilities,Project C,1449,20.0,
2024-08-17,Operations,Maintenance,Project B,5918,19.0,
2024-09-06,Finance,Salaries,Project B,1813,,
2024-08-22,Operations,Equipment,Project C,7888,,VendorX
2024-11-10,Operations,Maintenance,Project C,7059,8.0,
2024-07-21,Exploration,Salaries,Project A,1530,,
2024-09-28,Finance,Maintenance,Project A,9970,20.0,VendorY
2024-03-03,Finance,Utilities,Project B,2822,,VendorY
2024-01-15,Operations,Equipment,Project C,1748,,VendorZ
2024-10-07,Operations,Maintenance,Project B,5539,,VendorX
2024-09-03,Exploration,Equipment,Project C,7544,14.0,
2024-04-12,Exploration,Equipment,Project B,6887,10.0,VendorZ
2024-02-07,Exploration,Maintenance,Project A,1211,5.0,
2024-07-20,Exploration,Salaries,Project B,5788,,
2024-09-02,Exploration,Equipment,Project C,4573,,
2024-03-31,Finance,Maintenance,Project C,4453,,
2024-04-02,Finance,Utilities,Project A,7250,14.0,
2024-08-22,Operations,Equipment,Project C,4642,,VendorZ
2024-02-06,Finance,Maintenance,Project C,7288,,
2024-11-07,Operations,Equipment,Project A,6049,13.0,VendorY
2024-07-15,Finance,Utilities,Project C,6150,11.0,VendorX
2024-08-04,Operations,Utilities,Project B,5938,12.0,VendorZ
2024-01-12,Operations,Salaries,Project C,9676,,
2024-07-10,Finance,Equipment,Project A,1486,,VendorZ
2024-04-19,Operations,Salaries,Project A,8236,6.0,
2024-03-16,Exploration,Salaries,Project C,3927,,
2024-05-23,Operations,Maintenance,Project A,9842,,VendorX
2024-08-14,Exploration,Utilities,Project C,8146,,
2024-09-08,Exploration,Salaries,Project C,8815,17.0,VendorZ
2024-05-15,Operations,Maintenance,Project A,8083,15.0,VendorX
2024-07-13,Exploration,Maintenance,Project A,4780,,VendorX
2024-01-19,Exploration,Equipment,Project C,3589,,VendorY
2024-12-02,Operations,Utilities,Project A,5779,,
2024-03-04,Operations,Equipment,Project A,2623,,VendorY
2024-07-30,Exploration,Maintenance,Project B,5294,11.0,VendorY
2024-05-02,Exploration,Maintenance,Project B,7642,7.0,VendorY
2024-10-06,Finance,Utilities,Project B,2097,17.0,
2024-07-07,Operations,Maintenance,Project A,8744,,
2024-08-05,Finance,Utilities,Project C,1501,,VendorX
2024-09-18,Operations,Maintenance,Project A,2095,,
2024-05-04,Exploration,Equipment,Project A,7368,,VendorZ
2024-11-24,Operations,Maintenance,Project C,7666,15.0,
2024-09-23,Finance,Equipment,Project A,3035,,VendorY
2024-01-26,Exploration,Salaries,Project C,2176,8.0,VendorZ
2024-04-21,Exploration,Utilities,Project C,1756,,VendorY
2024-01-20,Operations,Salaries,Project A,2511,,VendorX
2024-09-10,Operations,Maintenance,Project B,2057,,
2024-09-05,Finance,Maintenance,Project B,6921,,
2024-07-25,Finance,Maintenance,Project C,8896,,
2024-04-28,Operations,Utilities,Project A,4808,16.0,
2024-09-09,Finance,Maintenance,Project A,9364,1.0,
2024-09-06,Finance,Equipment,Project C,9223,16.0,
2024-01-28,Operations,Salaries,Project B,2878,7.0,VendorY
2024-08-27,Exploration,Maintenance,Project C,7813,,VendorY
2024-10-15,Exploration,Utilities,Project A,8211,,VendorY
2024-11-30,Exploration,Salaries,Project B,6850,16.0,
2024-06-06,Exploration,Utilities,Project A,8288,16.0,
2024-09-25,Operations,Equipment,Project B,9934,,VendorZ
2024-07-25,Operations,Maintenance,Project B,9000,,VendorX
2024-02-27,Exploration,Equipment,Project B,5516,,
2024-04-19,Finance,Salaries,Project C,2713,,
2024-08-07,Exploration,Equipment,Project C,3684,17.0,
2024-12-25,Exploration,Salaries,Project A,5026,,VendorY
2024-05-01,Exploration,Maintenance,Project B,3577,2.0,
2024-05-26,Exploration,Salaries,Project B,4544,,
2024-10-14,Finance,Maintenance,Project B,9640,,
2024-02-16,Finance,Equipment,Project A,2122,16.0,
2024-07-25,Exploration,Maintenance,Project C,3853,,
2024-08-10,Exploration,Equipment,Project B,9760,17.0,VendorZ
2024-10-30,Finance,Maintenance,Project C,2467,,
2024-06-24,Operations,Maintenance,Project A,5736,,VendorY
2024-08-23,Operations,Utilities,Project A,9767,,VendorY
2024-09-04,Finance,Salaries,Project C,2172,,VendorY
2024-12-11,Exploration,Equipment,Project B,3932,,VendorY
2024-01-17,Operations,Utilities,Project B,6536,,VendorY
2024-12-17,Exploration,Utilities,Project B,1506,,VendorZ
2024-01-18,Operations,Maintenance,Project C,9740,,VendorY
2024-11-10,Operations,Equipment,Project A,9267,1.0,VendorZ
2024-10-11,Operations,Maintenance,Project C,4599,,
2024-02-29,Operations,Utilities,Project C,2009,1.0,VendorY
2024-07-19,Finance,Equipment,Project B,9338,19.0,VendorY
2024-12-22,Finance,Equipment,Project C,8522,,
2024-08-30,Finance,Maintenance,Project C,5270,,
2024-10-30,Finance,Utilities,Project B,5309,,
2024-02-19,Operations,Salaries,Project B,8480,,VendorX
2024-05-15,Exploration,Maintenance,Project C,4698,,VendorX
2024-02-28,Finance,Utilities,Project B,8710,13.0,
2024-10-28,Exploration,Utilities,Project A,5544,,
2024-05-25,Operations,Salaries,Project A,8507,,VendorX
2024-09-07,Finance,Equipment,Project B,5906,,VendorY
2024-08-20,Operations,Utilities,Project B,3926,,
2024-12-18,Operations,Maintenance,Project C,8175,,VendorY
2024-07-23,Exploration,Maintenance,Project B,8934,6.0,VendorY
2024-06-01,Finance,Maintenance,Project A,4908,,
2024-10-25,Operations,Utilities,Project C,6679,4.0,
2024-08-14,Finance,Salaries,Project A,7532,,
2024-07-21,Operations,Equipment,Project A,6802,,VendorZ
2024-07-17,Exploration,Salaries,Project C,1530,10.0,
2024-09-02,Finance,Equipment,Project B,9248,,VendorY
2024-01-10,Exploration,Utilities,Project A,8980,16.0,
2024-02-02,Operations,Equipment,Project B,4116,9.0,VendorX
2024-12-06,Finance,Maintenance,Project B,9079,,VendorZ
2024-10-04,Exploration,Utilities,Project A,7933,15.0,VendorX
2024-02-13,Finance,Utilities,Project B,9299,,
2024-10-30,Exploration,Maintenance,Project A,8047,,VendorX
2024-10-04,Exploration,Utilities,Project B,6761,,VendorY
2024-10-24,Operations,Maintenance,Project C,4525,16.0,
2024-10-16,Exploration,Salaries,Project A,3299,2.0,VendorZ
2024-07-17,Exploration,Maintenance,Project B,9995,6.0,
2024-06-29,Exploration,Salaries,Project C,2402,10.0,
2024-09-02,Exploration,Utilities,Project C,7738,17.0,VendorZ
2024-10-22,Finance,Utilities,Project B,6991,7.0,
2024-01-13,Operations,Salaries,Project B,9389,20.0,VendorY
2024-06-26,Exploration,Equipment,Project A,9832,20.0,VendorZ
2024-06-11,Operations,Salaries,Project B,9518,9.0,
2024-10-13,Exploration,Salaries,Project A,1475,,
2024-11-14,Operations,Utilities,Project B,4362,18.0,VendorY
2024-01-09,Exploration,Maintenance,Project B,4144,,
2024-01-05,Finance,Utilities,Project C,8116,1.0,VendorX
2024-09-17,Operations,Maintenance,Project B,8424,,VendorZ
2024-12-16,Operations,Equipment,Project C,6917,18.0,VendorZ
2024-12-06,Operations,Salaries,Project B,9145,,VendorY
2024-10-11,Exploration,Equipment,Project A,4420,11.0,VendorX
2024-08-23,Finance,Utilities,Project C,7563,17.0,VendorZ
2024-10-24,Operations,Equipment,Project B,6474,,
2024-10-12,Exploration,Salaries,Project A,7392,,
2024-03-18,Exploration,Maintenance,Project C,5790,,VendorX
2024-12-22,Operations,Equipment,Project B,8016,8.0,VendorX
2024-10-17,Operations,Utilities,Project C,3950,1.0,VendorZ
2024-10-06,Operations,Utilities,Project B,2967,15.0,
2024-05-21,Finance,Utilities,Project A,3202,,VendorX
2024-03-24,Operations,Salaries,Project C,3269,,VendorZ
2024-05-05,Exploration,Maintenance,Project B,3361,6.0,VendorY
2024-11-04,Operations,Maintenance,Project C,9209,4.0,
2024-10-14,Exploration,Maintenance,Project B,7104,,VendorY
2024-03-15,Finance,Salaries,Project C,2992,19.0,VendorX
2024-03-24,Finance,Salaries,Project C,5435,,
2024-10-29,Finance,Salaries,Project B,1441,,VendorX
2024-08-26,Exploration,Utilities,Project C,6905,14.0,VendorZ
2024-11-28,Finance,Salaries,Project B,2562,,
2024-04-20,Operations,Equipment,Project B,6401,3.0,
2024-02-06,Exploration,Maintenance,Project A,6324,15.0,VendorY
2024-04-24,Finance,Maintenance,Project A,3310,,VendorZ
2024-12-27,Operations,Maintenance,Project A,9932,8.0,VendorY
2024-03-15,Operations,Equipment,Project C,2057,,VendorZ
2024-01-12,Exploration,Salaries,Project C,1611,2.0,VendorY
2024-12-02,Exploration,Maintenance,Project C,8299,,VendorX
2024-07-21,Operations,Maintenance,Project C,3384,19.0,
2024-01-05,Finance,Salaries,Project A,5782,12.0,
2024-10-23,Exploration,Equipment,Project A,6519,1.0,
2024-10-06,Exploration,Utilities,Project B,5525,,VendorZ
2024-02-08,Exploration,Equipment,Project C,6712,11.0,
2024-09-21,Exploration,Maintenance,Project B,5602,20.0,VendorZ
2024-06-03,Exploration,Equipment,Project C,4855,3.0,
2024-11-10,Exploration,Salaries,Project A,6495,12.0,
2024-09-29,Finance,Salaries,Project C,2473,20.0,
2024-12-17,Finance,Salaries,Project A,1540,,VendorX
2024-11-27,Finance,Salaries,Project C,8322,5.0,
2024-12-24,Finance,Salaries,Project C,9240,15.0,VendorX
2024-09-27,Exploration,Equipment,Project A,4555,14.0,
2024-10-22,Operations,Utilities,Project C,9434,20.0,VendorZ
2024-12-25,Operations,Salaries,Project A,6375,13.0,VendorZ
2024-09-12,Operations,Salaries,Project B,1408,,VendorZ
2024-07-09,Exploration,Utilities,Project B,1772,,
2024-05-08,Finance,Salaries,Project B,1946,,VendorY
2024-10-07,Finance,Maintenance,Project B,7749,20.0,VendorY
2024-12-30,Operations,Utilities,Project B,4224,,
2024-10-30,Finance,Utilities,Project A,1374,,VendorX
2024-04-18,Exploration,Salaries,Project C,5343,,VendorZ
2024-08-13,Finance,Equipment,Project A,5305,,VendorZ
2024-04-23,Operations,Utilities,Project A,4560,,VendorY
2024-01-03,Operations,Maintenance,Project C,6656,,
2024-07-19,Finance,Equipment,Project A,9576,,
2024-10-06,Exploration,Salaries,Project C,1308,,
2024-10-31,Operations,Maintenance,Project C,3285,4.0,VendorZ
2024-06-03,Operations,Equipment,Project A,6933,2.0,
2024-12-11,Operations,Utilities,Project A,3621,10.0,VendorY
2024-10-22,Finance,Utilities,Project A,2216,,
2024-07-09,Operations,Salaries,Project A,8702,16.0,
2024-12-06,Finance,Maintenance,Project C,3865,1.0,VendorY
2024-01-12,Exploration,Equipment,Project A,6939,,
2024-11-13,Exploration,Utilities,Project A,8666,,
2024-12-14,Operations,Maintenance,Project A,4984,7.0,VendorY
2024-11-13,Exploration,Maintenance,Project C,8273,3.0,VendorY
2024-05-16,Operations,Maintenance,Project A,6020,9.0,VendorZ
2024-05-06,Operations,Equipment,Project B,6915,,VendorY
2024-01-15,Finance,Salaries,Project A,3899,14.0,VendorX
2024-11-11,Operations,Maintenance,Project C,1262,17.0,
2024-06-17,Finance,Utilities,Project A,1978,,VendorY
2024-08-13,Operations,Salaries,Project C,4428,10.0,
2024-01-19,Finance,Salaries,Project C,7977,13.0,
2024-03-27,Exploration,Maintenance,Project B,7879,,VendorY
2024-02-22,Exploration,Salaries,Project B,1112,,
2024-01-21,Exploration,Utilities,Project A,1374,,VendorZ
2024-02-25,Finance,Utilities,Project C,7898,1.0,
2024-04-14,Operations,Equipment,Project B,6891,,VendorZ
2024-03-01,Exploration,Utilities,Project A,9330,,VendorX
2024-01-26,Operations,Maintenance,Project A,4340,,
2024-06-25,Exploration,Salaries,Project A,5964,2.0,VendorZ
2024-07-10,Finance,Maintenance,Project C,4614,2.0,VendorY
2024-09-13,Operations,Salaries,Project B,7806,,
2024-08-13,Operations,Equipment,Project C,8708,13.0,
2024-06-29,Finance,Utilities,Project A,3861,10.0,VendorZ
2024-02-20,Finance,Equipment,Project A,2229,20.0,
2024-05-06,Operations,Utilities,Project A,8346,13.0,
2024-05-29,Operations,Maintenance,Project B,4191,,VendorZ
2024-12-30,Operations,Equipment,Project B,2499,13.0,VendorX
2024-10-06,Finance,Equipment,Project A,4200,9.0,
2024-05-27,Finance,Maintenance,Project B,1753,,VendorY
2024-11-20,Finance,Salaries,Project C,5038,,VendorX
2024-04-23,Finance,Salaries,Project B,2621,,
2024-11-19,Finance,Salaries,Project C,9389,,VendorZ
2024-07-17,Operations,Equipment,Project B,8444,,
2024-11-28,Finance,Utilities,Project C,7260,,VendorZ
2024-07-15,Operations,Maintenance,Project A,8857,,
2024-01-02,Operations,Equipment,Project A,9505,,
2024-02-11,Operations,Utilities,Project B,7504,,VendorX
2024-10-04,Exploration,Maintenance,Project A,1386,,
2024-05-27,Finance,Salaries,Project A,7295,11.0,
2024-04-23,Operations,Salaries,Project B,1174,,
2024-11-08,Finance,Equipment,Project A,9485,,
2024-02-19,Exploration,Salaries,Project C,1244,,
2024-05-19,Operations,Equipment,Project B,9837,,
2024-03-21,Exploration,Salaries,Project C,2307,,VendorX
2024-09-12,Operations,Salaries,Project B,9493,9.0,
2024-01-23,Finance,Maintenance,Project A,3905,,
2024-09-14,Exploration,Maintenance,Project C,6306,,
2024-12-28,Operations,Maintenance,Project C,1580,18.0,VendorX
2024-05-12,Exploration,Utilities,Project B,8582,5.0,VendorY
2024-03-08,Operations,Maintenance,Project B,5174,,VendorX
2024-09-13,Operations,Equipment,Project A,2423,17.0,VendorX
2024-01-21,Operations,Equipment,Project C,7375,11.0,
2024-02-06,Operations,Maintenance,Project C,8163,,
2024-11-29,Finance,Maintenance,Project C,4419,,VendorX
2024-04-15,Operations,Maintenance,Project C,1812,12.0,VendorX
2024-01-05,Operations,Maintenance,Project A,5228,11.0,
2024-07-31,Finance,Salaries,Project B,3954,,VendorX
2024-06-11,Exploration,Maintenance,Project B,5412,,VendorZ
2024-04-29,Finance,Maintenance,Project A,7216,,VendorY
2024-04-12,Exploration,Salaries,Project B,4031,5.0,VendorY
2024-01-10,Operations,Utilities,Project A,6442,,
2024-09-07,Exploration,Equipment,Project C,9360,,VendorY
2024-08-11,Exploration,Utilities,Project C,4418,,VendorZ
2024-08-11,Finance,Maintenance,Project C,4297,12.0,VendorX
2024-08-07,Operations,Utilities,Project C,5042,1.0,VendorZ
2024-03-13,Operations,Equipment,Project A,2533,,
2024-08-21,Operations,Utilities,Project A,6033,1.0,
2024-09-22,Finance,Salaries,Project B,1612,18.0,VendorX
2024-05-31,Finance,Maintenance,Project C,4298,17.0,
2024-08-07,Operations,Equipment,Project B,5836,6.0,VendorX
2024-05-21,Operations,Salaries,Project B,3404,8.0,VendorX
2024-01-14,Finance,Maintenance,Project C,2516,,VendorZ
2024-11-18,Operations,Equipment,Project A,1683,,
2024-05-10,Operations,Equipment,Project A,9413,,
2024-03-17,Operations,Utilities,Project C,5739,,VendorZ
2024-07-28,Exploration,Maintenance,Project B,9137,,
2024-11-14,Exploration,Equipment,Project B,7017,,VendorX
2024-11-05,Finance,Salaries,Project C,7131,12.0,VendorY
2024-08-04,Finance,Utilities,Project B,5620,,
2024-12-26,Operations,Maintenance,Project B,9324,,VendorX
2024-08-01,Finance,Salaries,Project C,8039,9.0,
2024-09-26,Finance,Equipment,Project B,6591,,VendorZ
2024-03-01,Exploration,Equipment,Project A,7526,20.0,VendorZ
2024-02-06,Operations,Utilities,Project B,5901,,VendorZ
2024-10-13,Finance,Utilities,Project C,8192,12.0,
2024-05-06,Finance,Salaries,Project A,8747,,
2024-09-01,Exploration,Utilities,Project A,3144,15.0,VendorZ
2024-01-08,Finance,Equipment,Project A,6450,,
2024-10-26,Finance,Salaries,Project A,8048,5.0,VendorY
2024-12-13,Exploration,Salaries,Project A,6540,7.0,VendorY
2024-11-17,Finance,Salaries,Project A,3789,18.0,
2024-08-23,Exploration,Equipment,Project B,8166,,VendorX
2024-02-05,Operations,Equipment,Project A,4513,,
2024-04-01,Finance,Equipment,Project A,3756,11.0,
2024-05-31,Operations,Utilities,Project A,8515,,VendorX
2024-08-08,Finance,Maintenance,Project C,4860,,VendorY
2024-06-08,Exploration,Maintenance,Project C,8177,1.0,VendorX
2024-10-07,Exploration,Maintenance,Project C,5561,19.0,VendorX
2024-08-02,Exploration,Utilities,Project A,3805,,
2024-06-08,Finance,Maintenance,Project C,6146,,VendorZ
2024-12-12,Finance,Equipment,Project A,4317,,VendorX
2024-09-03,Operations,Utilities,Project A,4972,12.0,
2024-04-04,Exploration,Equipment,Project A,8405,6.0,VendorX
2024-02-26,Operations,Equipment,Project A,5730,,
2024-12-29,Finance,Utilities,Project B,7528,1.0,
2024-04-17,Finance,Utilities,Project B,2497,20.0,VendorY
2024-08-20,Operations,Salaries,Project C,6733,16.0,
2024-02-23,Finance,Salaries,Project B,1940,13.0,
2024-05-08,Finance,Equipment,Project B,8019,11.0,
2024-04-17,Operations,Utilities,Project C,1664,,VendorX
2024-05-30,Finance,Maintenance,Project C,9025,,VendorZ
2024-02-24,Operations,Maintenance,Project B,7313,5.0,
2024-11-02,Operations,Utilities,Project C,4306,,VendorY
2024-03-13,Operations,Maintenance,Project B,3505,,VendorZ
2024-01-24,Operations,Salaries,Project C,7126,,VendorY
2024-02-29,Exploration,Equipment,Project B,6333,11.0,
2024-01-20,Operations,Utilities,Project C,5459,12.0,
2024-06-23,Exploration,Maintenance,Project A,2937,,
2024-08-17,Exploration,Maintenance,Project C,5014,11.0,
2024-02-04,Exploration,Utilities,Project A,2746,,VendorY
2024-07-13,Operations,Utilities,Project C,4508,,
2024-05-13,Finance,Utilities,Project C,3711,15.0,VendorZ
2024-10-21,Finance,Equipment,Project A,9998,,
2024-08-20,Operations,Salaries,Project A,7271,6.0,
2024-07-19,Operations,Salaries,Project B,1016,,
2024-08-31,Exploration,Salaries,Project B,4340,3.0,VendorY
2024-08-26,Operations,Salaries,Project B,7005,13.0,VendorY
2024-01-16,Exploration,Salaries,Project B,6618,17.0,
2024-08-11,Finance,Salaries,Project A,5777,,VendorY
2024-04-13,Finance,Equipment,Project A,1325,,
2024-09-19,Operations,Equipment,Project A,6574,,VendorX
2024-07-30,Exploration,Maintenance,Project C,5434,,
2024-03-28,Exploration,Maintenance,Project C,2396,,VendorY
2024-02-23,Finance,Utilities,Project B,1190,,
2024-07-01,Finance,Salaries,Project C,9323,15.0,VendorY
2024-04-04,Exploration,Salaries,Project B,2140,,VendorX
2024-11-18,Operations,Salaries,Project C,2401,20.0,
2024-11-14,Exploration,Salaries,Project B,8771,19.0,
2024-05-10,Operations,Equipment,Project C,7930,11.0,
2024-09-24,Finance,Utilities,Project C,5213,6.0,
2024-02-12,Exploration,Salaries,Project A,7672,,
2024-12-27,Operations,Utilities,Project A,7354,,
2024-02-03,Exploration,Maintenance,Project A,9065,20.0,VendorX
2024-09-02,Exploration,Utilities,Project A,2947,17.0,
2024-08-20,Operations,Maintenance,Project A,7351,6.0,VendorX
2024-12-27,Exploration,Equipment,Project B,6840,1.0,
2024-10-11,Finance,Utilities,Project A,5804,,VendorX
2024-09-05,Exploration,Maintenance,Project B,5333,,VendorZ
2024-01-02,Finance,Salaries,Project B,2011,20.0,
2024-11-05,Exploration,Equipment,Project B,4504,20.0,
2024-02-25,Finance,Equipment,Project B,9630,14.0,
2024-11-23,Exploration,Equipment,Project B,1420,,VendorZ
2024-03-07,Finance,Salaries,Project A,5522,,
2024-10-21,Exploration,Maintenance,Project A,4062,6.0,VendorX
2024-02-24,Finance,Salaries,Project C,3746,10.0,
2024-04-24,Exploration,Utilities,Project A,7834,10.0,VendorY
2024-09-09,Exploration,Maintenance,Project C,7165,14.0,
2024-11-07,Operations,Maintenance,Project C,1009,10.0,
2024-01-17,Exploration,Equipment,Project A,4877,20.0,
2024-03-16,Operations,Utilities,Project A,7502,,
2024-06-03,Exploration,Maintenance,Project C,4622,,VendorY
2024-05-03,Finance,Equipment,Project A,5244,,
2024-12-03,Operations,Salaries,Project B,8324,12.0,VendorZ
2024-05-06,Operations,Utilities,Project B,1590,3.0,VendorY
2024-11-19,Finance,Utilities,Project A,4841,16.0,VendorX
2024-07-10,Operations,Salaries,Project A,7139,19.0,VendorY
2024-12-01,Operations,Utilities,Project A,5120,,VendorX
2024-05-09,Finance,Salaries,Project B,2727,,
2024-12-11,Exploration,Utilities,Project C,5745,,VendorX
2024-11-14,Operations,Utilities,Project B,6766,20.0,VendorY
2024-01-12,Exploration,Utilities,Project B,9391,,
2024-05-27,Exploration,Maintenance,Project C,4701,,
2024-12-03,Operations,Equipment,Project A,6479,1.0,
2024-02-15,Operations,Utilities,Project B,3164,,VendorX
2024-12-04,Operations,Maintenance,Project B,5622,20.0,
2024-02-09,Finance,Salaries,Project A,9266,8.0,VendorZ
2024-10-07,Exploration,Equipment,Project B,1596,18.0,
2024-02-13,Operations,Equipment,Project C,7826,10.0,
2024-10-29,Finance,Salaries,Project B,3034,11.0,VendorZ
2024-04-27,Finance,Utilities,Project A,1588,13.0,VendorX
2024-02-23,Exploration,Salaries,Project B,3130,1.0,
2024-10-26,Operations,Salaries,Project C,4566,15.0,VendorY
2024-06-03,Finance,Maintenance,Project C,6949,6.0,VendorZ
2024-04-12,Exploration,Utilities,Project B,6505,2.0,VendorX
2024-06-29,Finance,Maintenance,Project B,9328,20.0,VendorZ
2024-11-28,Finance,Salaries,Project C,5743,,
2024-01-25,Operations,Salaries,Project C,4407,12.0,VendorY
2024-09-11,Exploration,Salaries,Project A,4191,18.0,VendorY
2024-02-08,Finance,Maintenance,Project B,6742,,
2024-01-02,Finance,Utilities,Project A,7307,,
2024-10-09,Operations,Salaries,Project A,6619,8.0,VendorX
2024-12-28,Exploration,Equipment,Project C,8160,,
2024-09-27,Exploration,Salaries,Project A,5450,19.0,
2024-11-30,Exploration,Equipment,Project A,2808,,VendorX
2024-03-30,Exploration,Salaries,Project A,1700,,VendorZ
2024-02-12,Exploration,Salaries,Project A,1312,10.0,VendorY
2024-07-15,Operations,Equipment,Project C,3319,,
2024-05-31,Exploration,Maintenance,Project B,5011,,
2024-03-10,Operations,Utilities,Project B,6336,,
2024-12-22,Exploration,Salaries,Project A,9178,,VendorX
2024-01-21,Finance,Utilities,Project B,8247,,
2024-08-16,Operations,Maintenance,Project B,2710,,
2024-11-08,Operations,Salaries,Project A,3447,19.0,VendorX
2024-01-31,Finance,Salaries,Project A,8555,10.0,
2024-05-25,Finance,Utilities,Project A,6224,11.0,VendorX
2024-08-15,Operations,Utilities,Project B,4047,,VendorZ
2024-03-27,Exploration,Equipment,Project B,9292,,
2024-09-21,Finance,Equipment,Project B,8975,16.0,VendorX
2024-09-24,Finance,Salaries,Project A,5453,20.0,
2024-10-26,Operations,Utilities,Project C,7532,,VendorX
2024-05-21,Exploration,Maintenance,Project B,8426,,VendorZ
2024-07-28,Finance,Maintenance,Project A,7348,8.0,
2024-11-24,Exploration,Equipment,Project B,9131,14.0,
2024-11-26,Operations,Utilities,Project B,6407,,
2024-04-26,Operations,Equipment,Project C,1089,,VendorZ
2024-02-27,Finance,Utilities,Project C,1169,,
2024-07-26,Finance,Equipment,Project C,9109,,
2024-07-29,Operations,Maintenance,Project A,1097,17.0,VendorZ
2024-08-11,Finance,Equipment,Project A,4903,,VendorY
2024-04-17,Exploration,Utilities,Project A,2699,6.0,VendorZ
2024-01-13,Operations,Equipment,Project C,6692,8.0,
2024-04-16,Finance,Utilities,Project B,4238,,
2024-04-30,Exploration,Salaries,Project A,2437,19.0,
2024-02-26,Finance,Maintenance,Project C,8506,,VendorY
2024-01-05,Operations,Equipment,Project B,5761,7.0,
2024-08-09,Finance,Salaries,Project B,7306,,VendorX
2024-01-12,Exploration,Utilities,Project A,3994,,VendorY
2024-10-12,Exploration,Equipment,Project C,1521,19.0,VendorX
2024-02-28,Finance,Utilities,Project A,4915,9.0,
2024-04-13,Operations,Salaries,Project C,1560,13.0,
2024-02-21,Operations,Utilities,Project A,5491,,
2024-07-29,Exploration,Salaries,Project A,9301,,
2024-03-26,Operations,Maintenance,Project B,4961,,VendorY
2024-01-17,Finance,Equipment,Project B,7811,15.0,VendorX
2024-04-30,Finance,Equipment,Project A,2021,11.0,VendorZ
2024-04-28,Finance,Salaries,Project C,8449,15.0,
2024-03-17,Finance,Equipment,Project A,8022,5.0,
2024-12-26,Exploration,Salaries,Project B,8716,20.0,VendorX
2024-11-02,Finance,Equipment,Project C,3434,6.0,VendorZ
2024-12-10,Finance,Salaries,Project B,1976,18.0,
2024-08-17,Exploration,Maintenance,Project B,2911,,VendorZ
2024-03-01,Operations,Maintenance,Project A,9105,9.0,VendorX
2024-06-07,Exploration,Utilities,Project A,5954,19.0,VendorY
2024-05-07,Exploration,Utilities,Project A,5484,,VendorZ
2024-06-13,Exploration,Utilities,Project B,8765,19.0,
2024-01-21,Finance,Utilities,Project B,8407,,
2024-08-08,Finance,Utilities,Project C,6115,6.0,
2024-12-03,Finance,Salaries,Project A,2365,1.0,
2024-10-29,Operations,Equipment,Project C,4952,,VendorY
2024-09-16,Exploration,Salaries,Project C,1147,20.0,VendorY
2024-10-18,Operations,Maintenance,Project B,7401,16.0,
2024-04-26,Operations,Maintenance,Project B,4064,,
2024-04-10,Exploration,Equipment,Project C,3442,1.0,
2024-08-09,Finance,Maintenance,Project B,9750,8.0,VendorX
2024-01-07,Finance,Salaries,Project C,7157,,
2024-02-03,Exploration,Equipment,Project C,6448,,VendorZ
2024-12-06,Finance,Utilities,Project C,7525,,VendorX
2024-10-03,Finance,Salaries,Project C,3063,6.0,
2024-06-19,Operations,Utilities,Project B,2588,,VendorX
2024-12-19,Exploration,Utilities,Project C,6270,,
2024-12-11,Finance,Maintenance,Project A,1125,9.0,VendorZ
2024-06-06,Finance,Salaries,Project C,6661,,
2024-03-14,Exploration,Equipment,Project B,2770,,VendorZ
