Transaction ID,Transaction Date,Department,Expense Type,Project,Vendor,Amount (USD),Quantity,Employee Name,Employee Department,Employee Position,Employee Salary (USD)
261,2023-07-05,Logistics,Equipment,Project Beta,Vendor B,771,1,Employee 261,Exploration,Technician,60660
262,2021-03-22,HR,Equipment,Project Alpha,Vendor C,306,9,Employee 262,Logistics,Technician,81515
263,2021-03-14,HR,Utilities,Project Beta,Vendor B,9306,14,Employee 263,Logistics,Administrator,35571
264,2023-11-15,Finance,Research,Project Gamma,Vendor B,4822,7,Employee 264,Operations,Engineer,86785
265,2022-02-09,Finance,Utilities,Project Alpha,Vendor B,9187,8,Employee 265,Operations,Technician,116415
266,2024-01-02,Operations,Equipment,Project Alpha,Vendor B,2293,9,Employee 266,Logistics,Manager,85901
267,2022-05-07,Logistics,Research,Project Alpha,Vendor B,2851,9,Employee 267,Finance,Technician,31099
268,2021-01-29,Logistics,Utilities,Project Alpha,Vendor C,3224,3,Employee 268,HR,Manager,57795
269,2021-06-20,Logistics,Salaries,Project Alpha,Vendor C,3914,11,Employee 269,Finance,Engineer,53796
270,2024-03-02,Logistics,Salaries,Project Beta,Vendor B,9636,12,Employee 270,Logistics,Manager,113701
271,2024-06-01,Finance,Salaries,Project Beta,Vendor C,6970,2,Employee 271,Finance,Engineer,98684
272,2023-03-04,Exploration,Maintenance,Project Alpha,Vendor A,7789,17,Employee 272,Exploration,Technician,119996
273,2024-04-24,Operations,Equipment,Project Alpha,Vendor A,1899,2,Employee 273,Operations,Administrator,72589
274,2021-07-10,Exploration,Research,Project Beta,Vendor A,7599,13,Employee 274,Exploration,Manager,103706
275,2024-10-07,HR,Maintenance,Project Gamma,Vendor B,992,5,Employee 275,Finance,Technician,35594
276,2022-02-23,Operations,Salaries,Project Alpha,Vendor B,6515,4,Employee 276,Operations,Engineer,59304
277,2023-04-24,HR,Maintenance,Project Alpha,Vendor B,3747,11,Employee 277,Finance,Administrator,37662
278,2023-03-29,Logistics,Maintenance,Project Beta,Vendor A,9520,20,Employee 278,Finance,Administrator,94140
279,2023-01-15,Operations,Utilities,Project Gamma,Vendor C,2345,10,Employee 279,Finance,Engineer,39904
280,2024-05-12,HR,Equipment,Project Alpha,Vendor B,5871,19,Employee 280,Finance,Engineer,111236
281,2021-03-30,HR,Utilities,Project Gamma,Vendor C,7527,17,Employee 281,Operations,Administrator,36338
282,2021-07-04,Logistics,Equipment,Project Alpha,Vendor B,5296,11,Employee 282,Exploration,Engineer,101456
283,2023-04-02,Finance,Maintenance,Project Gamma,Vendor C,7702,17,Employee 283,HR,Engineer,58101
284,2023-04-01,Exploration,Equipment,Project Beta,Vendor A,2399,12,Employee 284,Finance,Technician,68966
285,2021-11-10,Logistics,Salaries,Project Alpha,Vendor A,5723,4,Employee 285,Exploration,Administrator,89832
286,2022-12-31,HR,Salaries,Project Beta,Vendor A,4073,9,Employee 286,Logistics,Technician,71588
287,2021-07-03,Operations,Utilities,Project Gamma,Vendor C,5291,5,Employee 287,Operations,Administrator,81915
288,2021-10-15,Operations,Maintenance,Project Alpha,Vendor B,7471,8,Employee 288,Finance,Technician,47350
289,2023-08-18,Exploration,Salaries,Project Beta,Vendor B,351,17,Employee 289,Exploration,Technician,52296
290,2024-02-02,Finance,Salaries,Project Beta,Vendor C,2133,17,Employee 290,Logistics,Administrator,74772
291,2022-05-28,HR,Utilities,Project Alpha,Vendor B,2527,17,Employee 291,HR,Engineer,86423
292,2021-01-12,HR,Equipment,Project Gamma,Vendor B,3841,4,Employee 292,Logistics,Technician,77103
293,2023-06-29,Operations,Salaries,Project Beta,Vendor C,8183,7,Employee 293,Exploration,Manager,30895
294,2023-11-13,HR,Salaries,Project Gamma,Vendor C,3933,19,Employee 294,Finance,Engineer,108008
295,2023-08-19,Logistics,Salaries,Project Beta,Vendor B,1088,6,Employee 295,Operations,Engineer,80359
296,2021-02-18,Exploration,Maintenance,Project Gamma,Vendor A,1382,9,Employee 296,Exploration,Technician,61458
297,2023-11-19,Finance,Utilities,Project Beta,Vendor B,5047,17,Employee 297,Logistics,Administrator,53542
298,2022-08-25,Logistics,Maintenance,Project Gamma,Vendor B,6472,3,Employee 298,Finance,Technician,33793
299,2023-05-18,HR,Salaries,Project Gamma,Vendor A,821,1,Employee 299,Finance,Administrator,106498
300,2022-05-04,Finance,Utilities,Project Alpha,Vendor B,869,20,Employee 300,Logistics,Manager,50707
301,2023-06-20,Exploration,Utilities,Project Alpha,Vendor A,4541,8,Employee 301,Operations,Administrator,47144
302,2022-05-29,Operations,Maintenance,Project Beta,Vendor C,3465,7,Employee 302,HR,Administrator,104930
303,2022-03-06,Exploration,Salaries,Project Beta,Vendor C,932,18,Employee 303,Exploration,Technician,119343
304,2021-02-17,Logistics,Maintenance,Project Alpha,Vendor B,9004,10,Employee 304,Exploration,Engineer,54962
305,2022-01-06,Logistics,Maintenance,Project Gamma,Vendor C,3701,1,Employee 305,Exploration,Engineer,49507
306,2021-01-15,Finance,Salaries,Project Gamma,Vendor C,9518,17,Employee 306,Operations,Technician,78486
307,2024-11-23,Operations,Salaries,Project Alpha,Vendor A,4694,3,Employee 307,Finance,Manager,50848
308,2021-11-25,Logistics,Equipment,Project Beta,Vendor B,8242,18,Employee 308,Finance,Administrator,63353
309,2021-02-21,HR,Research,Project Beta,Vendor C,6834,11,Employee 309,HR,Manager,32944
310,2022-05-07,Operations,Utilities,Project Beta,Vendor B,2199,11,Employee 310,Exploration,Technician,76115
311,2023-11-21,Exploration,Equipment,Project Gamma,Vendor C,4642,19,Employee 311,HR,Technician,101947
312,2023-07-14,HR,Equipment,Project Alpha,Vendor A,5121,15,Employee 312,HR,Administrator,41934
313,2021-10-07,Finance,Equipment,Project Gamma,Vendor B,2291,13,Employee 313,Exploration,Administrator,108402
314,2023-11-19,Logistics,Research,Project Gamma,Vendor C,7412,2,Employee 314,Finance,Engineer,48255
315,2021-06-03,Exploration,Utilities,Project Gamma,Vendor C,167,11,Employee 315,Operations,Technician,112147
316,2021-10-01,HR,Equipment,Project Beta,Vendor C,1009,11,Employee 316,Exploration,Manager,71714
317,2023-10-14,HR,Equipment,Project Alpha,Vendor A,2188,16,Employee 317,Finance,Engineer,30978
318,2022-02-08,Operations,Utilities,Project Alpha,Vendor C,3977,19,Employee 318,HR,Administrator,59444
319,2023-08-01,Logistics,Salaries,Project Alpha,Vendor C,8459,9,Employee 319,Logistics,Administrator,114965
320,2021-05-10,Operations,Research,Project Alpha,Vendor C,6609,12,Employee 320,Finance,Administrator,108716
321,2021-09-06,Finance,Maintenance,Project Gamma,Vendor C,7404,1,Employee 321,Operations,Engineer,45715
322,2024-03-23,HR,Equipment,Project Beta,Vendor C,6311,8,Employee 322,Exploration,Administrator,104644
323,2024-08-04,Finance,Salaries,Project Beta,Vendor C,565,18,Employee 323,Finance,Engineer,66686
324,2022-05-23,Logistics,Research,Project Gamma,Vendor B,2195,4,Employee 324,Logistics,Administrator,59058
325,2022-10-26,Logistics,Equipment,Project Gamma,Vendor C,9860,11,Employee 325,Logistics,Engineer,115139
326,2021-07-08,Operations,Equipment,Project Beta,Vendor C,2171,4,Employee 326,Logistics,Manager,78502
327,2021-04-02,Logistics,Maintenance,Project Alpha,Vendor C,2910,12,Employee 327,Operations,Technician,96409
328,2021-04-30,Finance,Utilities,Project Gamma,Vendor A,4766,10,Employee 328,Operations,Technician,39669
329,2022-03-16,Operations,Research,Project Beta,Vendor C,2062,9,Employee 329,Finance,Manager,83001
330,2021-03-16,Finance,Equipment,Project Alpha,Vendor C,4412,18,Employee 330,Finance,Administrator,59191
331,2024-09-19,Operations,Research,Project Gamma,Vendor B,4646,5,Employee 331,Operations,Engineer,44353
332,2021-08-09,Operations,Equipment,Project Beta,Vendor B,8624,20,Employee 332,Logistics,Manager,106050
333,2023-12-09,Logistics,Salaries,Project Gamma,Vendor A,485,8,Employee 333,Operations,Engineer,62478
334,2021-04-06,HR,Utilities,Project Beta,Vendor A,4791,1,Employee 334,Exploration,Engineer,105214
335,2023-04-08,Finance,Research,Project Beta,Vendor C,9072,6,Employee 335,HR,Technician,69288
336,2024-07-08,Finance,Maintenance,Project Alpha,Vendor A,2307,5,Employee 336,Operations,Engineer,81991
337,2023-09-01,Exploration,Equipment,Project Gamma,Vendor C,8929,16,Employee 337,Finance,Technician,53126
338,2022-11-26,Exploration,Salaries,Project Gamma,Vendor B,5688,10,Employee 338,Exploration,Manager,58037
339,2021-06-13,HR,Research,Project Gamma,Vendor B,2826,6,Employee 339,HR,Engineer,86450
340,2024-10-25,Finance,Maintenance,Project Gamma,Vendor C,1075,2,Employee 340,Finance,Technician,52728
341,2022-01-01,Exploration,Research,Project Beta,Vendor C,4831,20,Employee 341,Exploration,Manager,104957
342,2023-07-24,Finance,Maintenance,Project Alpha,Vendor C,4533,4,Employee 342,Logistics,Engineer,117816
343,2023-04-19,Logistics,Research,Project Gamma,Vendor B,1735,7,Employee 343,Logistics,Administrator,37968
344,2024-06-18,HR,Salaries,Project Alpha,Vendor C,6739,16,Employee 344,Finance,Technician,119739
345,2024-09-14,Exploration,Utilities,Project Gamma,Vendor B,977,13,Employee 345,Logistics,Technician,60823
346,2024-12-24,Exploration,Equipment,Project Gamma,Vendor C,1362,3,Employee 346,Logistics,Manager,81201
347,2023-05-14,Finance,Equipment,Project Alpha,Vendor C,4050,5,Employee 347,Finance,Engineer,76171
348,2021-11-03,Logistics,Research,Project Beta,Vendor C,5010,1,Employee 348,Exploration,Engineer,41968
349,2024-06-16,HR,Maintenance,Project Alpha,Vendor B,6240,18,Employee 349,Exploration,Administrator,45259
350,2022-01-09,Finance,Salaries,Project Gamma,Vendor C,1829,12,Employee 350,Logistics,Administrator,86041
351,2023-08-22,Logistics,Research,Project Gamma,Vendor B,1007,17,Employee 351,Finance,Administrator,119657
352,2023-08-25,Finance,Equipment,Project Beta,Vendor A,2717,8,Employee 352,Operations,Manager,78074
353,2024-05-09,Operations,Equipment,Project Alpha,Vendor B,7657,8,Employee 353,Logistics,Engineer,114722
354,2021-11-26,Exploration,Salaries,Project Gamma,Vendor B,6386,11,Employee 354,Finance,Administrator,52530
355,2022-11-23,Operations,Maintenance,Project Alpha,Vendor B,7071,2,Employee 355,Finance,Technician,84427
356,2023-11-02,Logistics,Research,Project Gamma,Vendor A,7800,7,Employee 356,Exploration,Technician,46555
357,2023-10-22,Logistics,Equipment,Project Alpha,Vendor B,7252,16,Employee 357,HR,Engineer,74961
358,2024-09-09,HR,Utilities,Project Alpha,Vendor A,1006,1,Employee 358,HR,Administrator,71266
359,2023-10-11,HR,Equipment,Project Gamma,Vendor B,2867,15,Employee 359,Logistics,Engineer,118872
360,2021-05-29,Operations,Maintenance,Project Beta,Vendor C,8107,10,Employee 360,Finance,Engineer,67613
361,2023-07-20,Operations,Equipment,Project Gamma,Vendor C,2601,7,Employee 361,Exploration,Technician,52299
362,2021-11-21,Logistics,Maintenance,Project Gamma,Vendor B,7874,1,Employee 362,Operations,Administrator,85929
363,2022-07-18,Exploration,Utilities,Project Gamma,Vendor C,8911,9,Employee 363,HR,Technician,36441
364,2023-05-23,HR,Research,Project Beta,Vendor C,2319,17,Employee 364,HR,Technician,78862
365,2021-09-25,Logistics,Research,Project Gamma,Vendor A,1645,20,Employee 365,HR,Manager,115027
366,2023-11-22,Exploration,Salaries,Project Gamma,Vendor C,4771,7,Employee 366,Operations,Engineer,89449
367,2023-12-05,Finance,Utilities,Project Gamma,Vendor C,3503,5,Employee 367,Operations,Engineer,35656
368,2024-03-05,Logistics,Maintenance,Project Gamma,Vendor B,1020,1,Employee 368,Finance,Administrator,69911
369,2022-03-15,Operations,Equipment,Project Alpha,Vendor C,5289,15,Employee 369,Logistics,Administrator,56876
370,2021-04-23,Operations,Maintenance,Project Alpha,Vendor A,1794,16,Employee 370,HR,Manager,71487
371,2023-01-06,Finance,Utilities,Project Beta,Vendor C,3195,8,Employee 371,HR,Manager,47228
372,2023-12-30,Finance,Salaries,Project Gamma,Vendor B,394,15,Employee 372,HR,Administrator,106429
373,2022-12-01,HR,Salaries,Project Alpha,Vendor B,5784,15,Employee 373,Operations,Technician,37761
374,2021-06-30,Exploration,Maintenance,Project Alpha,Vendor A,3394,3,Employee 374,HR,Technician,116125
375,2024-07-24,Finance,Salaries,Project Beta,Vendor C,1437,8,Employee 375,Logistics,Engineer,75738
376,2023-06-03,Finance,Research,Project Beta,Vendor B,7933,8,Employee 376,Operations,Technician,32865
377,2023-07-22,Finance,Maintenance,Project Beta,Vendor B,2723,17,Employee 377,Operations,Technician,117630
378,2024-11-02,Exploration,Salaries,Project Gamma,Vendor B,8650,15,Employee 378,Logistics,Administrator,76285
379,2021-08-11,Logistics,Salaries,Project Beta,Vendor A,631,4,Employee 379,HR,Manager,86923
380,2021-07-06,Finance,Utilities,Project Alpha,Vendor B,7302,15,Employee 380,Logistics,Technician,50338
381,2024-04-04,Logistics,Maintenance,Project Beta,Vendor C,1278,16,Employee 381,HR,Engineer,86242
382,2021-06-22,HR,Maintenance,Project Gamma,Vendor B,7372,14,Employee 382,Exploration,Technician,118671
383,2021-07-01,Finance,Research,Project Alpha,Vendor B,4879,14,Employee 383,Exploration,Engineer,74852
384,2024-10-05,Logistics,Utilities,Project Gamma,Vendor B,7266,12,Employee 384,Exploration,Administrator,62373
385,2021-02-15,Exploration,Equipment,Project Alpha,Vendor B,4791,13,Employee 385,Exploration,Manager,75118
386,2023-04-27,Finance,Equipment,Project Beta,Vendor B,1833,18,Employee 386,Exploration,Engineer,98075
387,2024-11-10,Logistics,Research,Project Beta,Vendor A,1207,18,Employee 387,Logistics,Technician,102368
388,2022-07-16,Operations,Salaries,Project Alpha,Vendor B,6794,12,Employee 388,HR,Manager,105235
389,2022-12-15,Exploration,Research,Project Gamma,Vendor A,9895,9,Employee 389,Finance,Administrator,109732
390,2023-09-01,HR,Research,Project Alpha,Vendor C,150,11,Employee 390,Operations,Engineer,82152
391,2023-03-01,Operations,Utilities,Project Gamma,Vendor C,8982,12,Employee 391,Operations,Engineer,92276
392,2022-05-13,Operations,Salaries,Project Alpha,Vendor C,5075,20,Employee 392,HR,Engineer,47728
393,2023-01-02,Operations,Research,Project Beta,Vendor C,541,6,Employee 393,Operations,Engineer,74826
394,2023-01-07,Logistics,Equipment,Project Gamma,Vendor B,380,13,Employee 394,Exploration,Administrator,55491
395,2022-11-07,Finance,Equipment,Project Gamma,Vendor B,2186,3,Employee 395,HR,Engineer,38251
396,2022-01-22,Finance,Utilities,Project Gamma,Vendor B,761,2,Employee 396,Exploration,Manager,42462
397,2022-02-23,Exploration,Equipment,Project Gamma,Vendor C,6112,5,Employee 397,Logistics,Administrator,90201
398,2024-03-10,Operations,Salaries,Project Gamma,Vendor A,3739,17,Employee 398,HR,Engineer,83522
399,2024-07-30,Exploration,Research,Project Beta,Vendor B,4412,11,Employee 399,Logistics,Administrator,114540
400,2023-02-08,Operations,Research,Project Alpha,Vendor A,4518,9,Employee 400,Operations,Engineer,50310
401,2022-04-28,Exploration,Salaries,Project Beta,Vendor B,1986,17,Employee 401,Operations,Technician,82866
402,2023-07-05,Operations,Maintenance,Project Alpha,Vendor C,9159,2,Employee 402,HR,Administrator,108369
403,2022-10-02,HR,Salaries,Project Gamma,Vendor B,9487,16,Employee 403,Finance,Manager,107419
404,2021-02-01,Logistics,Research,Project Beta,Vendor C,6881,14,Employee 404,Logistics,Technician,67943
405,2024-10-01,Operations,Maintenance,Project Gamma,Vendor A,3192,15,Employee 405,HR,Manager,71307
406,2023-07-05,Finance,Utilities,Project Beta,Vendor B,8198,7,Employee 406,HR,Technician,51985
407,2022-02-24,Operations,Maintenance,Project Gamma,Vendor A,3720,14,Employee 407,Operations,Engineer,103918
408,2022-10-18,Exploration,Equipment,Project Beta,Vendor B,6807,14,Employee 408,Logistics,Technician,60147
409,2024-01-12,Finance,Salaries,Project Beta,Vendor C,5344,18,Employee 409,Finance,Manager,103975
410,2024-07-10,Logistics,Equipment,Project Alpha,Vendor C,5005,20,Employee 410,HR,Manager,94214
411,2021-07-29,Operations,Salaries,Project Beta,Vendor B,7915,11,Employee 411,HR,Manager,39584
412,2021-05-09,Operations,Equipment,Project Alpha,Vendor A,9972,15,Employee 412,Logistics,Engineer,70422
413,2021-10-25,Logistics,Salaries,Project Gamma,Vendor C,190,16,Employee 413,Finance,Technician,98486
414,2021-01-25,Operations,Utilities,Project Gamma,Vendor A,7067,15,Employee 414,Logistics,Manager,92901
415,2023-03-30,HR,Research,Project Beta,Vendor C,8253,6,Employee 415,Operations,Technician,49472
416,2022-12-10,HR,Equipment,Project Beta,Vendor B,305,7,Employee 416,Exploration,Engineer,58382
417,2023-07-26,Finance,Research,Project Alpha,Vendor C,8966,6,Employee 417,Finance,Technician,115011
418,2024-09-10,Finance,Utilities,Project Gamma,Vendor A,1145,8,Employee 418,HR,Technician,61660
419,2024-01-27,Operations,Equipment,Project Beta,Vendor A,8042,7,Employee 419,Exploration,Technician,76894
420,2024-03-29,Finance,Maintenance,Project Gamma,Vendor B,3229,2,Employee 420,Finance,Engineer,45692
421,2021-08-06,Exploration,Utilities,Project Alpha,Vendor B,6886,13,Employee 421,Exploration,Manager,97134
422,2021-06-30,HR,Utilities,Project Alpha,Vendor B,3801,19,Employee 422,Logistics,Engineer,113362
423,2024-12-22,HR,Utilities,Project Beta,Vendor A,8649,6,Employee 423,Operations,Administrator,89505
424,2021-04-29,Operations,Maintenance,Project Gamma,Vendor B,3610,11,Employee 424,HR,Manager,65802
425,2024-06-14,HR,Equipment,Project Gamma,Vendor C,6432,17,Employee 425,HR,Engineer,110352
426,2021-11-12,Finance,Maintenance,Project Beta,Vendor C,7032,2,Employee 426,HR,Administrator,116075
427,2023-11-28,HR,Salaries,Project Alpha,Vendor B,2626,8,Employee 427,Exploration,Technician,68377
428,2021-06-27,Finance,Maintenance,Project Beta,Vendor A,6768,13,Employee 428,Finance,Administrator,53649
429,2023-03-09,HR,Utilities,Project Beta,Vendor C,3627,6,Employee 429,Finance,Engineer,75532
430,2022-10-21,HR,Research,Project Gamma,Vendor B,624,15,Employee 430,Operations,Technician,90986
431,2023-02-18,Exploration,Equipment,Project Gamma,Vendor B,2989,20,Employee 431,Finance,Manager,93542
432,2022-12-19,Logistics,Utilities,Project Gamma,Vendor B,8324,15,Employee 432,HR,Technician,31377
433,2021-03-17,Logistics,Utilities,Project Gamma,Vendor C,3201,9,Employee 433,Logistics,Technician,48202
434,2023-09-15,Exploration,Utilities,Project Gamma,Vendor C,2144,7,Employee 434,HR,Manager,46629
435,2024-10-01,Logistics,Maintenance,Project Beta,Vendor A,9625,2,Employee 435,Finance,Engineer,59443
436,2021-02-27,Exploration,Equipment,Project Beta,Vendor A,452,17,Employee 436,Exploration,Administrator,82105
437,2021-08-06,Finance,Equipment,Project Gamma,Vendor C,1746,14,Employee 437,Operations,Technician,55504
438,2021-05-09,HR,Salaries,Project Beta,Vendor C,4310,19,Employee 438,Logistics,Technician,107829
439,2022-04-04,Operations,Maintenance,Project Alpha,Vendor A,3676,13,Employee 439,HR,Technician,55098
440,2021-07-10,Finance,Research,Project Beta,Vendor A,4901,2,Employee 440,HR,Engineer,98617
441,2022-11-10,Finance,Research,Project Alpha,Vendor A,2721,19,Employee 441,HR,Technician,114861
442,2021-03-13,Exploration,Utilities,Project Beta,Vendor A,9318,10,Employee 442,Exploration,Administrator,57759
443,2021-11-23,Finance,Maintenance,Project Gamma,Vendor B,9249,6,Employee 443,Logistics,Engineer,111609
444,2022-08-23,Operations,Utilities,Project Gamma,Vendor B,8273,10,Employee 444,HR,Engineer,74981
445,2023-11-06,Operations,Maintenance,Project Gamma,Vendor C,1307,2,Employee 445,HR,Administrator,104252
446,2021-08-24,HR,Salaries,Project Alpha,Vendor A,2613,10,Employee 446,Logistics,Engineer,106197
447,2023-09-28,Finance,Maintenance,Project Alpha,Vendor B,8607,10,Employee 447,Logistics,Administrator,104633
448,2024-04-28,Logistics,Maintenance,Project Beta,Vendor A,8401,20,Employee 448,HR,Engineer,107984
449,2021-01-08,Finance,Maintenance,Project Alpha,Vendor B,5219,18,Employee 449,Logistics,Administrator,98105
450,2023-03-01,HR,Equipment,Project Alpha,Vendor A,9745,2,Employee 450,HR,Manager,97202
451,2023-08-27,Finance,Salaries,Project Gamma,Vendor A,4285,12,Employee 451,Operations,Technician,93721
452,2023-12-05,Logistics,Equipment,Project Alpha,Vendor B,8462,3,Employee 452,Logistics,Administrator,92325
453,2023-09-20,Logistics,Utilities,Project Gamma,Vendor A,3636,6,Employee 453,Logistics,Engineer,98369
454,2021-03-30,Logistics,Research,Project Alpha,Vendor C,6923,1,Employee 454,Exploration,Technician,49133
455,2024-08-22,Finance,Maintenance,Project Beta,Vendor B,2815,9,Employee 455,Finance,Administrator,54333
456,2021-08-05,Logistics,Equipment,Project Beta,Vendor A,5699,3,Employee 456,Logistics,Administrator,94703
457,2024-12-15,Exploration,Equipment,Project Beta,Vendor B,5649,10,Employee 457,Operations,Administrator,93332
458,2024-10-20,HR,Salaries,Project Alpha,Vendor A,5181,8,Employee 458,HR,Technician,46656
459,2024-12-07,HR,Equipment,Project Alpha,Vendor B,2722,6,Employee 459,Finance,Administrator,89340
460,2024-05-26,Exploration,Equipment,Project Gamma,Vendor A,4290,5,Employee 460,Logistics,Technician,68046
461,2023-09-28,Exploration,Research,Project Alpha,Vendor B,2261,12,Employee 461,HR,Administrator,45955
462,2023-01-23,HR,Utilities,Project Alpha,Vendor A,1629,5,Employee 462,Exploration,Technician,96088
463,2022-08-08,Operations,Salaries,Project Gamma,Vendor A,3949,12,Employee 463,Operations,Administrator,94365
464,2021-01-26,Logistics,Equipment,Project Alpha,Vendor C,8895,7,Employee 464,HR,Administrator,69628
465,2023-03-19,HR,Equipment,Project Beta,Vendor B,3897,13,Employee 465,Operations,Administrator,98892
466,2023-11-02,Finance,Maintenance,Project Gamma,Vendor A,5381,10,Employee 466,Exploration,Administrator,50285
467,2023-06-09,Operations,Equipment,Project Beta,Vendor C,1883,1,Employee 467,HR,Technician,97709
468,2024-09-28,Logistics,Research,Project Gamma,Vendor A,1058,4,Employee 468,Exploration,Technician,81068
469,2023-03-18,HR,Salaries,Project Beta,Vendor C,1408,19,Employee 469,Exploration,Manager,69100
470,2024-09-09,Logistics,Salaries,Project Gamma,Vendor A,2236,14,Employee 470,Exploration,Manager,53396
471,2023-12-25,Logistics,Salaries,Project Beta,Vendor A,3727,16,Employee 471,HR,Engineer,82497
472,2023-04-28,Operations,Maintenance,Project Alpha,Vendor A,4265,15,Employee 472,Exploration,Manager,41762
473,2021-02-14,Finance,Maintenance,Project Gamma,Vendor C,1088,13,Employee 473,Finance,Engineer,106490
474,2021-06-01,Operations,Salaries,Project Gamma,Vendor B,3341,20,Employee 474,HR,Technician,118088
475,2022-04-22,Exploration,Maintenance,Project Gamma,Vendor B,5510,6,Employee 475,Logistics,Engineer,110923
476,2024-11-30,Finance,Utilities,Project Alpha,Vendor C,8338,6,Employee 476,Finance,Engineer,47695
477,2022-12-31,Finance,Salaries,Project Gamma,Vendor B,243,1,Employee 477,Operations,Administrator,86257
478,2024-01-28,Exploration,Maintenance,Project Gamma,Vendor C,5658,8,Employee 478,HR,Administrator,58723
479,2022-01-25,Operations,Maintenance,Project Gamma,Vendor A,6353,12,Employee 479,Exploration,Engineer,112208
480,2023-03-02,Logistics,Research,Project Alpha,Vendor C,7790,11,Employee 480,Operations,Manager,72892
481,2022-01-28,Operations,Maintenance,Project Beta,Vendor A,4491,13,Employee 481,Logistics,Engineer,61211
482,2022-11-29,HR,Maintenance,Project Gamma,Vendor B,540,3,Employee 482,HR,Engineer,50029
483,2024-12-07,Operations,Utilities,Project Alpha,Vendor B,9983,5,Employee 483,Logistics,Administrator,47351
484,2021-11-29,Logistics,Equipment,Project Beta,Vendor C,648,2,Employee 484,Exploration,Engineer,110504
485,2024-04-19,HR,Research,Project Gamma,Vendor C,3436,12,Employee 485,Exploration,Manager,89870
486,2022-12-13,Finance,Utilities,Project Alpha,Vendor B,796,9,Employee 486,Logistics,Administrator,58891
487,2023-01-06,Logistics,Research,Project Alpha,Vendor B,3782,11,Employee 487,Finance,Administrator,100258
488,2022-04-05,Operations,Equipment,Project Alpha,Vendor B,5629,6,Employee 488,Finance,Technician,92582
489,2022-06-25,Finance,Maintenance,Project Beta,Vendor B,2743,9,Employee 489,Logistics,Technician,46501
490,2021-01-27,Exploration,Research,Project Alpha,Vendor A,1441,11,Employee 490,Finance,Administrator,69135
491,2023-10-17,Logistics,Research,Project Gamma,Vendor A,7387,2,Employee 491,HR,Engineer,116866
492,2021-07-26,HR,Maintenance,Project Beta,Vendor A,9020,1,Employee 492,Finance,Administrator,30223
493,2023-10-13,Operations,Research,Project Alpha,Vendor C,7377,5,Employee 493,Operations,Engineer,31543
494,2023-12-23,HR,Equipment,Project Alpha,Vendor A,3929,1,Employee 494,Exploration,Technician,45685
495,2022-12-23,Operations,Research,Project Gamma,Vendor B,7268,14,Employee 495,Logistics,Administrator,37635
496,2022-03-24,Logistics,Equipment,Project Beta,Vendor A,1243,7,Employee 496,Exploration,Administrator,34988
497,2023-11-02,HR,Utilities,Project Gamma,Vendor A,9964,7,Employee 497,Exploration,Technician,43264
498,2022-09-18,HR,Maintenance,Project Alpha,Vendor B,7117,18,Employee 498,Exploration,Administrator,34193
499,2021-02-15,Logistics,Equipment,Project Beta,Vendor B,5516,13,Employee 499,Exploration,Administrator,75217
500,2022-06-22,Operations,Utilities,Project Gamma,Vendor B,3492,6,Employee 500,Finance,Manager,43715
501,2022-07-19,HR,Maintenance,Project Gamma,Vendor C,621,12,Employee 501,Logistics,Manager,70793
502,2022-03-25,HR,Maintenance,Project Beta,Vendor B,868,4,Employee 502,Operations,Administrator,112072
503,2023-11-22,HR,Equipment,Project Beta,Vendor B,3674,6,Employee 503,HR,Technician,82924
504,2021-10-12,HR,Salaries,Project Gamma,Vendor C,9498,4,Employee 504,HR,Technician,59550
505,2021-05-05,HR,Research,Project Gamma,Vendor A,1032,20,Employee 505,Exploration,Engineer,37221
506,2023-05-22,HR,Research,Project Alpha,Vendor A,4828,16,Employee 506,Exploration,Administrator,61241
507,2022-06-15,Operations,Salaries,Project Alpha,Vendor C,7523,8,Employee 507,Logistics,Engineer,102660
508,2022-10-12,Exploration,Salaries,Project Beta,Vendor C,4789,20,Employee 508,HR,Technician,98949
509,2024-07-03,Operations,Research,Project Gamma,Vendor B,5481,19,Employee 509,Finance,Engineer,90319
510,2024-10-14,Finance,Salaries,Project Alpha,Vendor C,8053,5,Employee 510,Operations,Engineer,102675
511,2022-08-31,Logistics,Equipment,Project Alpha,Vendor B,9892,17,Employee 511,Finance,Engineer,47904
512,2023-06-07,Logistics,Utilities,Project Beta,Vendor C,6399,15,Employee 512,Finance,Technician,79830
513,2021-09-01,Exploration,Utilities,Project Beta,Vendor B,5188,20,Employee 513,Exploration,Technician,80971
514,2023-09-04,Operations,Utilities,Project Gamma,Vendor A,3403,12,Employee 514,Operations,Engineer,89019
515,2023-12-28,Exploration,Salaries,Project Gamma,Vendor B,355,13,Employee 515,Exploration,Engineer,37244
516,2022-11-14,Exploration,Research,Project Beta,Vendor B,7781,6,Employee 516,Logistics,Administrator,55377
517,2023-10-04,Exploration,Research,Project Alpha,Vendor B,4057,4,Employee 517,Exploration,Manager,69861
518,2022-08-03,Finance,Salaries,Project Beta,Vendor C,4361,1,Employee 518,Logistics,Technician,34219
519,2024-05-25,Finance,Equipment,Project Alpha,Vendor A,1790,10,Employee 519,Finance,Engineer,106537
520,2024-12-06,Operations,Utilities,Project Gamma,Vendor C,4965,12,Employee 520,Finance,Manager,81381
521,2021-08-30,Exploration,Research,Project Gamma,Vendor C,6039,12,Employee 521,HR,Engineer,97330
